srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,clients3.google.com,*,17,443,*,710,*,*,11246,15
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,connectivitycheck.gstatic.com,*,17,443,*,710,*,*,692,5
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,connectivitycheck.gstatic.com,*,17,443,*,710,*,*,692,5
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,clients4.google.com,*,17,443,*,710,*,*,1973,6
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,www.gstatic.com,*,17,443,*,710,*,*,415812,313
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,*,*,17,*,*,700,*,*,0,0
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,*,*,6,*,*,700,*,*,0,0
*,54:60:09:ff:d8:52,0x0800,*,*,*,6,*,42128,655,*,*,111151,770
*,54:60:09:ff:d8:52,0x0800,*,*,*,6,*,8009,655,*,*,224306,1549
*,54:60:09:ff:d8:52,0x0800,*,*,*,6,*,8008,655,*,*,10172,73
54:60:09:ff:d8:52,*,0x0800,*,*,*,6,42128,*,650,*,*,274028,715
54:60:09:ff:d8:52,*,0x0800,*,*,*,6,8009,*,650,*,*,642901,1549
54:60:09:ff:d8:52,*,0x0800,*,*,*,6,8008,*,650,*,*,35406,69
54:60:09:ff:d8:52,*,0x888e,*,*,*,*,*,*,650,*,*,587,5
*,54:60:09:ff:d8:52,0x86dd,*,*,*,1,*,*,601,8,0,0,0
*,54:60:09:ff:d8:52,0x0800,*,*,*,1,*,*,601,8,0,0,0
*,54:60:09:ff:d8:52,0x0800,*,*,*,17,*,*,600,*,*,0,0
*,54:60:09:ff:d8:52,0x0800,*,*,*,6,*,*,600,*,*,222,3
